I_D,FLAG_TSUNAMI,YEAR,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS
5542,No,1999,5.7,TURKEY,"TURKEY:  ADAPAZARI, KOCEALI, GOLCUK",40.744,30.266,140,2
5543,No,1999,7.2,TURKEY,"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,140,894
5544,No,1999,4.6,CHINA,CHINA:  YUNNAN PROVINCE:  CHENGJIANG,24.589,102.872,30,1
5739,No,1999,5.3,IRAN,IRAN:  GORGAN,36.92,54.9,140,
5545,Yes,1999,7.5,VANUATU,VANUATU ISLANDS:  PENTECOST,-16.423,168.214,170,5
5546,No,1999,5,CHINA,CHINA:  NORTHEASTERN:  SANJIANFANG,40.459,122.889,30,
5547,No,1999,5.7,TURKEY,"TURKEY:  GORESKEN, ERZURUM PROVINCE",40.358,42.346,140,1
5548,No,1999,7.3,PHILIPPINES,"PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ",15.766,119.74,170,5
5549,No,1999,6.5,INDONESIA,"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,60,5
5550,No,1999,5.6,ALGERIA,ALGERIA:  NORTHERN:  AIN TEMOUCHENT,35.321,-1.281,15,24
5551,No,2000,4.6,INDIA,INDIA-BANGLADESH BORDER:  MAHESHKHALI,22.132,92.771,60,
5552,No,2000,5.1,CHINA,CHINA:  LIAONING PROVINCE,40.498,122.994,30,
5553,No,2000,5.9,CHINA,CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,30,5
5554,No,2000,5.3,IRAN,"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,140,1
5555,No,2000,4.5,SOUTH AFRICA,SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,-26.288,30.888,10,
5556,No,2000,7.6,JAPAN,JAPAN:  VOLCANO ISLANDS,22.338,143.73,30,
7301,Yes,2000,5.5,GREECE,GREECE:  CRETE,34.22,25.69,130,
5557,Yes,2000,7.6,INDONESIA,"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,170,46
5558,No,2000,4.1,TURKEY,"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,140,
5559,No,2000,5.4,TAIWAN,TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,30,3
5560,No,2000,7.9,INDONESIA,"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,60,103
5561,No,2000,6,TURKEY,"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,140,2
5562,No,2000,6.3,CHINA,CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,30,
5563,No,2000,6.7,INDONESIA,INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,60,1
5564,No,2000,6.4,TAIWAN,TAIWAN:  NAN-TOU,23.843,121.225,30,2
8209,No,2000,6.5,ICELAND,"ICELAND:  VESTMANNAEYJAR, HELLA",63.966,-20.487,120,
5565,Yes,2000,7.9,AUSTRALIA,"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,60,
5566,No,2000,6.5,ICELAND,"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,120,
5568,Yes,2000,6.1,JAPAN,JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,30,1
5569,No,2000,5.4,NICARAGUA,NICARAGUA:  MASAYA,11.884,-85.988,100,7
